chapter_id,character,text,sentiment,sentiment_score
2a,G-Man,"Rise and shine Mr. Freeman, rise and shine. Not that I wish to imply that you have been sleeping on the job. No one is more deserving of a rest than you. And all the effort in the world would have gone to waste until.... Well lets just say your hour has come again. The right man in the wrong place can make all the difference in the world. So wake up Mr. Freeman, wake up and smell the ashes.",positive,0.5281378626823425
2a,Citizen,I didnt see you get on. This is my third transfer this year.,neutral,0.8021142482757568
2a,Citizen,No matter how many times I get relocated I never get used to it.,negative,0.7483633160591125
2a,Citizen,"Well, end of the line.",negative,0.5133968591690063
2a,Dr. Breen,"Welcome, welcome to city 17, you have chosen or been chosen to relocate to one of our finest remaining urban centers. I thought so much of city 17 that I elected to establish my administration here, in the citadel so thoughtfully provided by our benefactors. I have been proud to call city 17 my home. So whether you are here to stay, or passing through on your way to parts unkown, welcome to city 17, it is safer here.",positive,0.924689769744873
2a,Civil Patrol,First warning move away.,neutral,0.6578057408332825
2a,Citizen,"It, Its all I have left.",neutral,0.5645653605461121
2a,Civil Patrol,Move it.,neutral,0.7412253022193909
2a,Citizen,"Alright, alright I am moving, jeez.",neutral,0.5389053225517273
2a,Citizen,"Were you the only ones on that train? Overwatch stopped our train in the woods and took my husband for questioning. They said he would be on the next train, I am not sure when that was. They are being nice and letting me wait though.",neutral,0.7628081440925598
2a,Citizen,"Dont drink the water, they, they put something in it to make you forget, I dont even remember how I got here.",negative,0.8570280075073242
2a,Citizen,Dr. Breen again? I was hoping I had seen the last of him in city 14.,neutral,0.5146324634552002
2a,Citizen,"I wouldnt say that to loud, this is his base of operations.",neutral,0.6296047568321228
2a,Civil Patrol,"You, Citizen come with me.",neutral,0.710149884223938
2a,Citizen,"Wai, Wait a minute where are you...",neutral,0.8785318732261658
2a,Civil Patrol,GET IN HERE!,neutral,0.648052453994751
2a,Civil Patrol,Go on!,positive,0.5496275424957275
2a,Citizen,ME?,neutral,0.6811547875404358
2a,Civil Patrol,I SAID MOVE!,neutral,0.7038706541061401
2a,Civil Patrol,"Dont move, hold it",neutral,0.7835927605628967
2a,Civil Patrol,"You citizen, come with me.",neutral,0.7201022505760193
2a,Citizen,"This must be a mistake, I got a standard relocation coupon just like everyone else.",negative,0.7247360944747925
2a,Civil Patrol,Get in! Need any help with this one?,neutral,0.6894553899765015
2a,Civil Patrol,No I am good,positive,0.8321435451507568
2a,Civil Patrol,Back up!,positive,0.6772083640098572
2a,Civil Patrol,Yeah I am gonna need me some privacy for this,negative,0.5479181408882141
2a,Civil Patrol,Now...,neutral,0.7681596875190735
2a,Barney,"About that beer I owed ya. Its me Gordon, barney from black mesa. Sorry for the scare I had to put on a show for the cameras. I have been working undercover with civil protection, I cant take too long or they will get suspicious, I am way behind on my beating quota",neutral,0.4776698648929596
2a,Dr. Kleiner,Yes barney what is it? I am in the middle of a critical test.,neutral,0.8579508662223816
2a,Barney,"Sorry doc, but look whos here.",neutral,0.5081304907798767
2a,Dr. Kleiner,Great Scott! Gordon Freeman! I expected more warning.,positive,0.958460807800293
2a,Barney,Yeah you and me both doc. He was about to board the express train to Nova Prospekt.,neutral,0.859669029712677
2a,Dr. Kleiner,"Well, Barney what do you intend to do?",neutral,0.9162142872810364
2a,Barney,"Im thinking, Im thinking.",neutral,0.8077366948127747
2a,Dr. Kleiner,"Alyx is around here somewhere, she would have an idea of how to get him here.",neutral,0.866366982460022
2a,Barney,"Well, as long as he stays away from checkpoints we should be okay. Listen I gotta go doc, we are taking enough chances as it is.",neutral,0.6723632216453552
2a,Dr. Kleiner,Very well. And eh Gordon? Its good to see you.,positive,0.9837599992752075
2a,Barney,Okay Gordon your going to have to make your way to Dr. Klieners lab.,neutral,0.833014190196991
2a,Barney,Oh man! That is what I was afraid of! Get in here Gordon! Before you blow my cover!,negative,0.7007550597190857
2a,Barney,Pile up some stuff to get to that window and keep going till your in the plaza. I will meet up with you later.,neutral,0.923466682434082
2a,Civil Patrol,Pick up that can. Now put it in the trash can.,negative,0.6197970509529114
2a,Civil Patrol,Alright you can go.,neutral,0.6863909959793091
2a,Citizen,"This is how it always starts, first one building, then the entire block.",neutral,0.612610399723053
2a,Citizen,They have no reason to come to our place.,negative,0.7049389481544495
2a,Citizen,"Dont worry, they will find one.",positive,0.6140202283859253
2a,Citizen,"Oh, I thought you were a cop.",neutral,0.6470902562141418
2a,Citizen,Dont worry he is one of us.,neutral,0.5564499497413635
2a,Citizen,Look at them down there.,neutral,0.7427492737770081
2a,Citizen,I told you they would be coming for us next!,negative,0.5569334626197815
2a,Citizen,Just this once I hope you are wrong.,neutral,0.510648787021637
2a,Announcer,"Attention residents, miscount detected in your sector",neutral,0.7537834048271179
2a,Citizen,Psst! Hey you! In here! Head for the roof! There is no time to lose!,positive,0.8738377094268799
2a,Citizen,Run for your life!,neutral,0.41201138496398926
2a,Citizen,Civil Protection!,neutral,0.5841350555419922
2a,Citizen,CPs!,neutral,0.6306434869766235
2a,Citizen,Here they come!,neutral,0.5408507585525513
2a,Citizen,Get in here quick!,positive,0.49837225675582886
2a,Citizen,Head for the roof! I will keep them busy!,neutral,0.5114409923553467
2a,Alyx,Over Here! Ha! No you dont!,neutral,0.4688246250152588
2a,Alyx,"Dr. Freeman I presume? We better hurry, the combine can be slow to wake, but once they are up you will have a hard time taking them down.",neutral,0.5683547854423523
2a,Alyx,Dr. Kliener said you might be coming this way. I dont think it occurred to him that you might not have a map.,neutral,0.7661359310150146
2a,Alyx,"Im Alyx Vance, my father worked with you back in black mesa, but im sure you dont remember him.",neutral,0.7386202216148376
2a,Alyx,Man of few words arent you?,neutral,0.5059651136398315
2a,Alyx,Remember him from black mesa? Your old administrator?,neutral,0.935541033744812
2a,Alyx,Ha! Dont get my dad started on Dr. Breen.,positive,0.4957832992076874
2b,Alyx,Funny you showing up on this day in particular.,negative,0.6283613443374634
2b,Alyx,"We have been helping people escape the city on foot. Its a dangerous route to my fathers lab through the old canals, today we are finally on the verge of having a better way.",neutral,0.5633954405784607
2b,Alyx,Here lemme buy you a drink,neutral,0.6873660087585449
2b,Alyx,"Oh and by the way, nice to finally meet you.",positive,0.9807081818580627
2b,Dr. Kleiner,Blast that little.. where did she get to? Llamar? Come out of there.,negative,0.7997933030128479
2b,Alyx,"Uh-oh, everything alright Dr. Kliener?",neutral,0.8988943696022034
2b,Dr. Kleiner,"Oh, hello Alyx. Well almost alright, Llamar has gotten out of her crate again. If I didnt know better, I would suspect barney of trapping and.. My goodness, Gordon Freeman, It really is you isnt it?",positive,0.4898817539215088
2b,Alyx,"I found him wandering around outside, bit of a troublemaker isnt he?",negative,0.5041409730911255
2b,Dr. Kleiner,"We owe a great deal to Dr. Freeman, even if trouble does seem to follow in his wake.",positive,0.7366211414337158
2b,Dr. Kleiner,"I must say Gordon you have come at a very opportune time, Alyx has just installed the final piece in the resurrected teleport!",positive,0.9291419982910156
2b,Alyx,I cant take any credit for the breakthrough doctor.,negative,0.6985024809837341
2b,Dr. Kleiner,"Nonsense, your talents surpass your loveliness.",positive,0.5226401090621948
2b,Alyx,Lets just see if this thing works ok?,neutral,0.7096078991889954
2b,Barney,Well is he here? There you are! Man Gordon you stirred up the hive!,positive,0.47948750853538513
2b,Barney,"We cant keep him here long doc, It will jeporadize everything we have worked for.",negative,0.8402178287506104
2b,Alyx,Dont worry he is coming with me.,positive,0.5782124400138855
2b,Dr. Kleiner,"Thats right Barney, this is a red letter day, we will inaugurate the new teleport with a double transmission.",positive,0.7546660900115967
2b,Barney,You mean its working? For real this time? Because I still have nightmares about that cat.,negative,0.6755789518356323
2b,Alyx,What cat?,neutral,0.878034234046936
2b,Dr. Kleiner,"Now now there is nothing to be worried about, we have made major strides since then. Major strides.",positive,0.8725011348724365
2b,Alyx,What cat?,neutral,0.878034234046936
2b,Barney,"Doc, since he is not taking the streets you might as well get him out of his civvies.",negative,0.7473006844520569
2b,Dr. Kleiner,"What? Oh dear you are right, I almost forgot. Barney I will give you the honor.",positive,0.6674849390983582
2b,Barney,I have gotta get back on my shift but ok.,neutral,0.7278081178665161
2b,Barney,Here we go.. Awahh!,positive,0.6027410626411438
2b,Barney,Damn it! Get it off me!,negative,0.8757511377334595
2b,Dr. Kleiner,Llamar! There you are!,positive,0.6873916983604431
2b,Barney,I though you got rid of that pest!,negative,0.6829345226287842
2b,Dr. Kleiner,"Certainly not. Never fear Gordon, she is de-beaked and completely harmless. The worst she might try to do is couple with your head. Fruitlessly.",negative,0.47325214743614197
2b,Llamar,Guwakkh!,neutral,0.6031844615936279
2b,Barney,Get that thing away from me!,negative,0.8204675316810608
2b,Dr. Kleiner,Here my pet. Hop up!,positive,0.8480861783027649
2b,Dr. Kleiner,No not up there!,negative,0.5787937641143799
2b,Dr. Kleiner,"No, No! Careful Llamar those are quite fragile.",negative,0.5810849666595459
2b,Dr. Kleiner,Oh fie! It will be another week before I can coax here out of there!,negative,0.5829838514328003
2b,Barney,Yeah. Longer if we are lucky.,positive,0.5919750928878784
2b,Alyx,Barney.. You are not an animal person?,negative,0.7235884666442871
2b,Barney,Ugh.,negative,0.5854474306106567
2b,Dr. Kleiner,"Well Gordon go ahead, slip into your suit now.",neutral,0.6363765001296997
2b,Dr. Kleiner,"Well Gordon I see your HEV suit still fits you like a glove, at least the glove parts do.",positive,0.7042388916015625
2b,Dr. Kleiner,"I have made a few modifications, but I will just acquaint you with the essentials, now lets see..",neutral,0.70917147397995
2b,Dr. Kleiner,The Mark V Hazardous Environment Suit has been redesigned for comfort and utility..,positive,0.5665864944458008
2b,Dr. Kleiner,Oh dear!,neutral,0.4263339340686798
2b,Barney,Doc we dont have time for this. At least get that suit juiced up Gordon.,negative,0.7399500608444214
2b,Dr. Kleiner,"Good idea, there is a charger on the wall. I have modified your suit to draw power from combine energy outlets, which are plentiful wherever they patrol.",positive,0.8551914691925049
2b,Alyx,"Meanwhile, lets get this show on the road.",positive,0.6266464591026306
2b,Dr. Kleiner,"Gordon, why dont you position yourself near the panel over there and wait for my word?",neutral,0.7516884803771973
2b,Eli,Issac are you there?,neutral,0.9498759508132935
2b,Dr. Kleiner,"Yes, yes, Eli, a bit of a hold up on this end. You will never guess who found his way into our lab this morning.",neutral,0.5902687311172485
2b,Eli,"Thats not who I think it is, is it?",negative,0.703685462474823
2b,Dr. Kleiner,"Indeed it is, and its our intention to send him packing straight away, in the company of your lovely daughter.",positive,0.6045733690261841
2b,Alyx,Are you ready for us dad?,neutral,0.6035690307617188
2b,Eli,We are all set on this end.,neutral,0.5576449036598206
2b,Alyx,Then lets do it,neutral,0.6582712531089783
2b,Dr. Kleiner,"Lets see, the massless field flux should self-limit and I have clamped the manifold parameters to include CY Hilbert and GC orbitfold inclusive. Conditions could not be more ideal.",positive,0.712005615234375
2b,Barney,Thats what you said last time.,neutral,0.8244994878768921
2b,Alyx,"Hey, uh, yeah, about that cat..",neutral,0.7349370718002319
2b,Dr. Kleiner,Initializing in three.. two.. one.. Oh fiddlesticks what now?,neutral,0.7449135780334473
2b,Alyx,"Uh, doctor the plug.",neutral,0.8047494292259216
2b,Dr. Kleiner,"Dear me, you are right, Gordon would you mind plugging us in.",neutral,0.5685052871704102
2b,Alyx,You gonna let Gordon throw the switch?,neutral,0.8867348432540894
2b,Dr. Kleiner,"Gordon, go right ahead.",neutral,0.5810367465019226
2b,Dr. Kleiner,"Very good, final sequence commencing..now.",positive,0.9857057332992554
2b,Barney,I cant look.,neutral,0.5174928307533264
2b,Alyx,"Uh, ok, oh ah ohhh!",positive,0.5205363631248474
2b,Dr. Kleiner,"Well, did it work?",neutral,0.6730816960334778
2b,Eli,See for yourself,neutral,0.6385014653205872
2b,Alyx,Hey doc!,positive,0.7834935188293457
2b,Dr. Kleiner,"Thank goodness, my relief is almost palpable",positive,0.9658989310264587
2b,Eli,Fantastic work Izzy,positive,0.966536819934845
2b,Dr. Kleiner,"Well I cant take all the credit, Dr. Freeman proved an able assistant",positive,0.5287864208221436
2b,Eli,Lets go ahead and bring Gordon through now.,neutral,0.8616949319839478
2b,Dr. Kleiner,"Right you are, speak to you again in a few moments.",neutral,0.7556942105293274
2b,Barney,"Good job Gordon, throwing that switch and all, I can see your M.I.T. education really pays off.",positive,0.9696663618087769
2b,Dr. Kleiner,"Alright Barney, your turn.",neutral,0.6664451360702515
2b,Barney,Gee thanks,positive,0.7842636704444885
2b,Dr. Kleiner,"Gordon, as soon as you are in position we will send you to Eli.",neutral,0.8770776987075806
2b,Barney,And not a moment too soon,positive,0.6085739135742188
2b,Dr. Kleiner,"Excellent, initializing, in three.. two.. one.., eh Barney if you would be so kind?",positive,0.9062591791152954
2b,Barney,Good luck out there Gordon,positive,0.9328654408454895
2b,Dr. Kleiner,"Yes indeed, we are ready to project you Gordon, best of luck in your future endeavors, and bon voyage, final sequence.",positive,0.9790154695510864
2b,Barney,What the hell?,negative,0.7762783765792847
2b,Dr. Kleiner,What is it?,neutral,0.792158305644989
2b,Barney,Its your pet the freaking head humper!,negative,0.4946182668209076
2b,Dr. Kleiner,Llamar? Hedy! No!,negative,0.7827924489974976
2b,Barney,Look out!,neutral,0.5736438632011414
2b,Barney,There he is!,positive,0.8227157592773438
2b,Dr. Kleiner,Is Llamar with him?,neutral,0.9549748301506042
2b,Barney,Forget about that thing!,negative,0.7248420119285583
2b,Alyx,He is coming through dad!,positive,0.9105162620544434
2b,Eli,What is going on Judith?,neutral,0.8187761306762695
2b,Dr. Mossman,"Im not sure, it seems to be some kind of interference.",negative,0.4972178339958191
2b,Eli,Gordon stay put we will get ya out of there.,neutral,0.6616784334182739
2b,Dr. Mossman,Something is drawing him away.,negative,0.649124264717102
2b,Dr. Breen,What is the meaning of this? Who are you? How did you get in here?,neutral,0.6140658855438232
2b,Barney,"He is back, Im getting him outta there.",neutral,0.5556493997573853
2b,Dr. Kleiner,You cant just wade into the field! It will peel you apart!,negative,0.8137888312339783
2b,Alyx,We just lost Gordon what is going on?,negative,0.64786297082901
2b,Dr. Kleiner,"I wish I knew, Im encountering unexpected interference",negative,0.5989041924476624
2b,Barney,Dont worry Gordon we will..,positive,0.7573643326759338
2b,Alyx,There he is!,positive,0.8227157592773438
2b,Dr. Mossman,Ah! We are losing him again!,negative,0.8569394946098328
2b,Dr. Breen,"The man I saw, im all but certaint it was... Gordon Freeman",neutral,0.7675787806510925
2b,Dr. Kleiner,What do you mean he is not there?,neutral,0.7070788145065308
2b,Eli,He didnt come through.,negative,0.6570580005645752
2b,Dr. Kleiner,Then where is he?,neutral,0.6374320983886719
2b,Eli,Behind you.,neutral,0.7142672538757324
2b,Dr. Kleiner,Ahh!,positive,0.6454574465751648
2b,Eli,Shut it down! Shut it down!,neutral,0.5622598528862
2b,Dr. Kleiner,Gordon run! You must get out of here!,negative,0.6652439832687378
2b,Barney,Get down outta sight I will come find you!,neutral,0.574371874332428
2b,Barney,"Gordon! I have never seen the citadel on full alert like that! Take the old canals out of city 17 to Eli, its dangerous but there is a whole network of resistance members who run the underground railroad. I would come with you but I have to look after Dr. Kliener. Oh and before I forget, I think you dropped this back at black mesa.",negative,0.6694024205207825
2b,Barney,"Good luck out there buddy, you are gonna need it.",positive,0.9682552218437195
2c,Citizen,Help me! Stop we didnt do anything!,negative,0.869803249835968
2c,Citizen,They will be looking for you now. You should run there is nothing else you can do here.,neutral,0.4871080815792084
2c,Citizen,"Good god! Guess those sirens are for you huh? Good thing you found us, you are not the first to come through by a..",negative,0.38615134358406067
2c,Vortigaunt,"This is the freeman, the reckoning of the combine has come.",neutral,0.7845132350921631
2c,Citizen,Look we are just a lookout for the underground railroad. Main station is right around the corner. They will get you started on the right foot. Meanwhile let my vorigaunt friend here give you a jolt to get going.,neutral,0.5757499933242798
2c,Vortigaunt,That is all we can spare.,negative,0.4623677730560303
2c,Citizen,"Be careful now, we REALLY cant afford to get noticed. Civil protection catches you down here, its bad news for the whole railroad.",negative,0.9106110334396362
2c,Vortigaunt,We serve the same mystery.,neutral,0.7437185049057007
2c,Citizen,Get outta here.,negative,0.6598532795906067
2c,Citizen,Wait. what are you.. no.. please.. dont shoot! Ahhh!,negative,0.8042170405387878
2c,Radio,Station 12 come in. Station 12 do you read?,neutral,0.934684157371521
2c,Radio,"This is station 8! We heard 12 go down and out! Surgical strike units are targeting the railway stations! Repeat Civil Protection is coming down on the stations! We are already getting refuges from 9 and outlying, looks like..(static)",negative,0.7136791348457336
2c,Radio,Station 8 do you copy? Station 8 are you there? We have confirmed reports of manhacks. Repeat they are filling the underground with manhacks.,neutral,0.5138896703720093
2c,Citizen,Over here! Keep going friend that station was raided but there are still others up ahead. I am gonna stay here in case any others come through. Gotta keep the railway alive.,positive,0.7253727912902832
2c,Civil Patrol,Anyone else get a 647-E reading?,neutral,0.8939999341964722
2c,Civil Patrol,Check for miscount.,neutral,0.828889012336731
2c,Civil Patrol,Still getting that 647-E reading.,neutral,0.844853937625885
2c,Civil Patrol,There he is!,positive,0.8227157592773438
