chapter_id,chapter_name,character,is_main_character,text,line_index,topic,topic_prob,sentiment_label,sentiment_score,sentiment
2a,Point Insertion,G-Man,True,"Rise and shine Mr. Freeman, rise and shine. Not that I wish to imply that you have been sleeping on the job. No one is more deserving of a rest than you. And all the effort in the world would have gone to waste until.... Well lets just say your hour has come again. The right man in the wrong place can make all the difference in the world. So wake up Mr. Freeman, wake up and smell the ashes.",0,1,1.0,positive,0.5281378626823425,positive
2a,Point Insertion,Citizen,False,I didnt see you get on. This is my third transfer this year.,1,-1,0.2745383923953578,neutral,0.8021142482757568,neutral
2a,Point Insertion,Citizen,False,No matter how many times I get relocated I never get used to it.,2,0,0.06454985086394138,negative,0.7483633160591125,negative
2a,Point Insertion,Citizen,False,"Well, end of the line.",3,0,0.2778946340493074,negative,0.5133968591690063,negative
2a,Point Insertion,Dr. Breen,True,"Welcome, welcome to city 17, you have chosen or been chosen to relocate to one of our finest remaining urban centers. I thought so much of city 17 that I elected to establish my administration here, in the citadel so thoughtfully provided by our benefactors. I have been proud to call city 17 my home. So whether you are here to stay, or passing through on your way to parts unkown, welcome to city 17, it is safer here.",4,-1,0.35260258323502536,positive,0.924689769744873,positive
2a,Point Insertion,Civil Patrol,False,First warning move away.,5,0,1.0,neutral,0.6578057408332825,neutral
2a,Point Insertion,Citizen,False,"It, Its all I have left.",6,-1,0.05686729451979103,neutral,0.5645653605461121,neutral
2a,Point Insertion,Civil Patrol,False,Move it.,7,0,1.0,neutral,0.7412253022193909,neutral
2a,Point Insertion,Citizen,False,"Alright, alright I am moving, jeez.",8,0,1.0,neutral,0.5389053225517273,neutral
2a,Point Insertion,Citizen,False,"Were you the only ones on that train? Overwatch stopped our train in the woods and took my husband for questioning. They said he would be on the next train, I am not sure when that was. They are being nice and letting me wait though.",9,-1,0.4087492685605269,neutral,0.7628081440925598,neutral
2a,Point Insertion,Citizen,False,"Dont drink the water, they, they put something in it to make you forget, I dont even remember how I got here.",10,-1,0.0470392892931167,negative,0.8570280075073242,negative
2a,Point Insertion,Citizen,False,Dr. Breen again? I was hoping I had seen the last of him in city 14.,11,1,1.0,neutral,0.5146324634552002,neutral
2a,Point Insertion,Citizen,False,"I wouldnt say that to loud, this is his base of operations.",12,2,1.0,neutral,0.6296047568321228,neutral
2a,Point Insertion,Civil Patrol,False,"You, Citizen come with me.",13,0,1.0,neutral,0.710149884223938,neutral
2a,Point Insertion,Citizen,False,"Wai, Wait a minute where are you...",14,0,0.5467914947602183,neutral,0.8785318732261658,neutral
2a,Point Insertion,Civil Patrol,False,GET IN HERE!,15,0,1.0,neutral,0.648052453994751,neutral
2a,Point Insertion,Civil Patrol,False,Go on!,16,0,0.38305205923886165,positive,0.5496275424957275,positive
2a,Point Insertion,Citizen,False,ME?,17,0,0.43834065135664924,neutral,0.6811547875404358,neutral
2a,Point Insertion,Civil Patrol,False,I SAID MOVE!,18,0,1.0,neutral,0.7038706541061401,neutral
2a,Point Insertion,Civil Patrol,False,"Dont move, hold it",19,0,1.0,neutral,0.7835927605628967,neutral
2a,Point Insertion,Civil Patrol,False,"You citizen, come with me.",20,0,1.0,neutral,0.7201022505760193,neutral
2a,Point Insertion,Citizen,False,"This must be a mistake, I got a standard relocation coupon just like everyone else.",21,0,0.038489214225791234,negative,0.7247360944747925,negative
2a,Point Insertion,Civil Patrol,False,Get in! Need any help with this one?,22,0,1.0,neutral,0.6894553899765015,neutral
2a,Point Insertion,Civil Patrol,False,No I am good,23,0,0.305036408240932,positive,0.8321435451507568,positive
2a,Point Insertion,Civil Patrol,False,Back up!,24,-1,0.2052859305638939,positive,0.6772083640098572,positive
2a,Point Insertion,Civil Patrol,False,Yeah I am gonna need me some privacy for this,25,-1,0.27236352516068385,negative,0.5479181408882141,negative
2a,Point Insertion,Civil Patrol,False,Now...,26,-1,0.33230599667827276,neutral,0.7681596875190735,neutral
2a,Point Insertion,Barney,True,"About that beer I owed ya. Its me Gordon, barney from black mesa. Sorry for the scare I had to put on a show for the cameras. I have been working undercover with civil protection, I cant take too long or they will get suspicious, I am way behind on my beating quota",27,3,0.27681294684963753,neutral,0.4776698648929596,neutral
2a,Point Insertion,Dr. Kleiner,True,Yes barney what is it? I am in the middle of a critical test.,28,5,0.38113364671986527,neutral,0.8579508662223816,neutral
2a,Point Insertion,Barney,True,"Sorry doc, but look whos here.",29,1,1.0,neutral,0.5081304907798767,neutral
2a,Point Insertion,Dr. Kleiner,True,Great Scott! Gordon Freeman! I expected more warning.,30,1,0.5969990150383567,positive,0.958460807800293,positive
2a,Point Insertion,Barney,True,Yeah you and me both doc. He was about to board the express train to Nova Prospekt.,31,2,1.0,neutral,0.859669029712677,neutral
2a,Point Insertion,Dr. Kleiner,True,"Well, Barney what do you intend to do?",32,5,1.0,neutral,0.9162142872810364,neutral
2a,Point Insertion,Barney,True,"Im thinking, Im thinking.",33,1,1.0,neutral,0.8077366948127747,neutral
2a,Point Insertion,Dr. Kleiner,True,"Alyx is around here somewhere, she would have an idea of how to get him here.",34,4,1.0,neutral,0.866366982460022,neutral
2a,Point Insertion,Barney,True,"Well, as long as he stays away from checkpoints we should be okay. Listen I gotta go doc, we are taking enough chances as it is.",35,-1,0.1655197643735433,neutral,0.6723632216453552,neutral
2a,Point Insertion,Dr. Kleiner,True,Very well. And eh Gordon? Its good to see you.,36,3,1.0,positive,0.9837599992752075,positive
2a,Point Insertion,Barney,True,Okay Gordon your going to have to make your way to Dr. Klieners lab.,37,1,0.38737914822183034,neutral,0.833014190196991,neutral
2a,Point Insertion,Barney,True,Oh man! That is what I was afraid of! Get in here Gordon! Before you blow my cover!,38,3,0.26957552318084604,negative,0.7007550597190857,negative
2a,Point Insertion,Barney,True,Pile up some stuff to get to that window and keep going till your in the plaza. I will meet up with you later.,39,-1,0.23780282582423565,neutral,0.923466682434082,neutral
2a,Point Insertion,Civil Patrol,False,Pick up that can. Now put it in the trash can.,40,-1,0.15249718988965386,negative,0.6197970509529114,negative
2a,Point Insertion,Civil Patrol,False,Alright you can go.,41,0,1.0,neutral,0.6863909959793091,neutral
2a,Point Insertion,Citizen,False,"This is how it always starts, first one building, then the entire block.",42,2,1.0,neutral,0.612610399723053,neutral
2a,Point Insertion,Citizen,False,They have no reason to come to our place.,43,0,1.0,negative,0.7049389481544495,negative
2a,Point Insertion,Citizen,False,"Dont worry, they will find one.",44,0,0.39601626688784874,positive,0.6140202283859253,positive
2a,Point Insertion,Citizen,False,"Oh, I thought you were a cop.",45,0,1.0,neutral,0.6470902562141418,neutral
2a,Point Insertion,Citizen,False,Dont worry he is one of us.,46,0,1.0,neutral,0.5564499497413635,neutral
2a,Point Insertion,Citizen,False,Look at them down there.,47,7,1.0,neutral,0.7427492737770081,neutral
2a,Point Insertion,Citizen,False,I told you they would be coming for us next!,48,-1,0.050882911554794984,negative,0.5569334626197815,negative
2a,Point Insertion,Citizen,False,Just this once I hope you are wrong.,49,-1,0.1424183650311307,neutral,0.510648787021637,neutral
2a,Point Insertion,Announcer,False,"Attention residents, miscount detected in your sector",50,-1,0.10921981958464365,neutral,0.7537834048271179,neutral
2a,Point Insertion,Citizen,False,Psst! Hey you! In here! Head for the roof! There is no time to lose!,51,2,1.0,positive,0.8738377094268799,positive
2a,Point Insertion,Citizen,False,Run for your life!,52,-1,0.05106811823787026,neutral,0.41201138496398926,neutral
2a,Point Insertion,Citizen,False,Civil Protection!,53,0,0.2488905721630183,neutral,0.5841350555419922,neutral
2a,Point Insertion,Citizen,False,CPs!,54,-1,0.1893685733540552,neutral,0.6306434869766235,neutral
2a,Point Insertion,Citizen,False,Here they come!,55,-1,0.29545497418010847,neutral,0.5408507585525513,neutral
2a,Point Insertion,Citizen,False,Get in here quick!,56,0,1.0,positive,0.49837225675582886,positive
2a,Point Insertion,Citizen,False,Head for the roof! I will keep them busy!,57,2,0.4656614068194681,neutral,0.5114409923553467,neutral
2a,Point Insertion,Alyx,True,Over Here! Ha! No you dont!,58,-1,0.0602700817614395,neutral,0.4688246250152588,neutral
2a,Point Insertion,Alyx,True,"Dr. Freeman I presume? We better hurry, the combine can be slow to wake, but once they are up you will have a hard time taking them down.",59,2,1.0,neutral,0.5683547854423523,neutral
2a,Point Insertion,Alyx,True,Dr. Kliener said you might be coming this way. I dont think it occurred to him that you might not have a map.,60,1,0.17747900096332409,neutral,0.7661359310150146,neutral
2a,Point Insertion,Alyx,True,"Im Alyx Vance, my father worked with you back in black mesa, but im sure you dont remember him.",61,4,0.13753601740423302,neutral,0.7386202216148376,neutral
2a,Point Insertion,Alyx,True,Man of few words arent you?,62,0,0.32372911176308106,neutral,0.5059651136398315,neutral
2a,Point Insertion,Alyx,True,Remember him from black mesa? Your old administrator?,63,4,0.10725935750624507,neutral,0.935541033744812,neutral
2a,Point Insertion,Alyx,True,Ha! Dont get my dad started on Dr. Breen.,64,1,1.0,positive,0.4957832992076874,positive
2b,A Red Letter Day,Alyx,True,Funny you showing up on this day in particular.,65,0,0.12356744497488627,negative,0.6283613443374634,negative
2b,A Red Letter Day,Alyx,True,"We have been helping people escape the city on foot. Its a dangerous route to my fathers lab through the old canals, today we are finally on the verge of having a better way.",66,2,1.0,neutral,0.5633954405784607,neutral
2b,A Red Letter Day,Alyx,True,Here lemme buy you a drink,67,-1,0.2864292668684072,neutral,0.6873660087585449,neutral
2b,A Red Letter Day,Alyx,True,"Oh and by the way, nice to finally meet you.",68,0,1.0,positive,0.9807081818580627,positive
2b,A Red Letter Day,Dr. Kleiner,True,Blast that little.. where did she get to? Llamar? Come out of there.,69,5,0.5008947169360667,negative,0.7997933030128479,negative
2b,A Red Letter Day,Alyx,True,"Uh-oh, everything alright Dr. Kliener?",70,1,1.0,neutral,0.8988943696022034,neutral
2b,A Red Letter Day,Dr. Kleiner,True,"Oh, hello Alyx. Well almost alright, Llamar has gotten out of her crate again. If I didnt know better, I would suspect barney of trapping and.. My goodness, Gordon Freeman, It really is you isnt it?",71,5,0.43045094393387273,positive,0.4898817539215088,positive
2b,A Red Letter Day,Alyx,True,"I found him wandering around outside, bit of a troublemaker isnt he?",72,-1,0.262820283218541,negative,0.5041409730911255,negative
2b,A Red Letter Day,Dr. Kleiner,True,"We owe a great deal to Dr. Freeman, even if trouble does seem to follow in his wake.",73,1,1.0,positive,0.7366211414337158,positive
2b,A Red Letter Day,Dr. Kleiner,True,"I must say Gordon you have come at a very opportune time, Alyx has just installed the final piece in the resurrected teleport!",74,4,1.0,positive,0.9291419982910156,positive
2b,A Red Letter Day,Alyx,True,I cant take any credit for the breakthrough doctor.,75,1,0.20237389703682396,negative,0.6985024809837341,negative
2b,A Red Letter Day,Dr. Kleiner,True,"Nonsense, your talents surpass your loveliness.",76,1,0.13063988682260297,positive,0.5226401090621948,positive
2b,A Red Letter Day,Alyx,True,Lets just see if this thing works ok?,77,6,1.0,neutral,0.7096078991889954,neutral
2b,A Red Letter Day,Barney,True,Well is he here? There you are! Man Gordon you stirred up the hive!,78,3,0.3696495716918441,positive,0.47948750853538513,positive
2b,A Red Letter Day,Barney,True,"We cant keep him here long doc, It will jeporadize everything we have worked for.",79,1,1.0,negative,0.8402178287506104,negative
2b,A Red Letter Day,Alyx,True,Dont worry he is coming with me.,80,0,1.0,positive,0.5782124400138855,positive
2b,A Red Letter Day,Dr. Kleiner,True,"Thats right Barney, this is a red letter day, we will inaugurate the new teleport with a double transmission.",81,2,0.7511483752462755,positive,0.7546660900115967,positive
2b,A Red Letter Day,Barney,True,You mean its working? For real this time? Because I still have nightmares about that cat.,82,5,1.0,negative,0.6755789518356323,negative
2b,A Red Letter Day,Alyx,True,What cat?,83,5,1.0,neutral,0.878034234046936,neutral
2b,A Red Letter Day,Dr. Kleiner,True,"Now now there is nothing to be worried about, we have made major strides since then. Major strides.",84,0,0.4728895573163713,positive,0.8725011348724365,positive
2b,A Red Letter Day,Alyx,True,What cat?,85,5,1.0,neutral,0.878034234046936,neutral
2b,A Red Letter Day,Barney,True,"Doc, since he is not taking the streets you might as well get him out of his civvies.",86,1,1.0,negative,0.7473006844520569,negative
2b,A Red Letter Day,Dr. Kleiner,True,"What? Oh dear you are right, I almost forgot. Barney I will give you the honor.",87,5,1.0,positive,0.6674849390983582,positive
2b,A Red Letter Day,Barney,True,I have gotta get back on my shift but ok.,88,0,0.3487593947871577,neutral,0.7278081178665161,neutral
2b,A Red Letter Day,Barney,True,Here we go.. Awahh!,89,-1,0.05849761457311458,positive,0.6027410626411438,positive
2b,A Red Letter Day,Barney,True,Damn it! Get it off me!,90,0,1.0,negative,0.8757511377334595,negative
2b,A Red Letter Day,Dr. Kleiner,True,Llamar! There you are!,91,5,1.0,positive,0.6873916983604431,positive
2b,A Red Letter Day,Barney,True,I though you got rid of that pest!,92,0,0.06036812445594752,negative,0.6829345226287842,negative
2b,A Red Letter Day,Dr. Kleiner,True,"Certainly not. Never fear Gordon, she is de-beaked and completely harmless. The worst she might try to do is couple with your head. Fruitlessly.",93,3,1.0,negative,0.47325214743614197,negative
2b,A Red Letter Day,Llamar,False,Guwakkh!,94,0,0.6368847276968901,neutral,0.6031844615936279,neutral
2b,A Red Letter Day,Barney,True,Get that thing away from me!,95,0,1.0,negative,0.8204675316810608,negative
2b,A Red Letter Day,Dr. Kleiner,True,Here my pet. Hop up!,96,0,0.4833328929761435,positive,0.8480861783027649,positive
2b,A Red Letter Day,Dr. Kleiner,True,No not up there!,97,-1,0.2261265082535155,negative,0.5787937641143799,negative
2b,A Red Letter Day,Dr. Kleiner,True,"No, No! Careful Llamar those are quite fragile.",98,5,1.0,negative,0.5810849666595459,negative
2b,A Red Letter Day,Dr. Kleiner,True,Oh fie! It will be another week before I can coax here out of there!,99,-1,0.2666280702879637,negative,0.5829838514328003,negative
